data

SAMPO.HE
31.1.2019	Lisää
23.4.2019	Vähennä
29.4.2019	Vähennä
19.7.2019	Vähennä
19.9.2019	Vähennä
28.10.2019	Vähennä
27.11.2019	Lisää
20.1.2020	Lisää
31.1.2020	Lisää
26.3.2020	Lisää
22.4.2020	Lisää
20.7.2020	Lisää
26.10.2020	Lisää
21.1.2021	Vähennä
29.1.2021	Vähennä

UPM.HE
24.10.2017	Vähennä
1.2.2018	Vähennä
13.4.2018	Vähennä
27.4.2018	Vähennä
1.6.2018	Vähennä
25.7.2018	Vähennä
25.10.2018	Vähennä
29.11.2018	Vähennä
1.2.2019	Vähennä
29.4.2019	Vähennä
2.7.2019	Vähennä
24.7.2019	Vähennä
25.10.2019	Myy
31.1.2020	Vähennä
17.3.2020	Lisää
24.4.2020	Lisää
24.7.2020	Lisää
10.9.2020	Lisää
28.10.2020	Lisää
29.1.2021	Lisää

KNEBV.HE
20.7.2016	Vähennä
26.10.2016	Vähennä
27.1.2017	Vähennä
23.3.2017	Vähennä
28.4.2017	Vähennä
19.7.2017	Vähennä
29.9.2017	Vähennä
27.10.2017	Myy
26.1.2018	Vähennä
27.4.2018	Vähennä
20.7.2018	Vähennä
26.10.2018	Vähennä
25.1.2019	Vähennä
29.4.2019	Myy
19.7.2019	Myy
24.10.2019	Myy
29.1.2020	Myy
24.3.2020	Myy
23.4.2020	Myy
20.7.2020	Myy
23.9.2020	Myy
23.10.2020	Myy
29.1.2021	Myy

MOCORP.HE
30.6.2020	Lisää
30.7.2020	Lisää
6.8.2020	Lisää
8.9.2020	Lisää
29.10.2020	Osta
10.12.2020	Lisää
11.1.2021	Lisää
17.2.2021	Lisää
